date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_name,is_weekend
20170205,2017-02-05,5,2,February,Q1,2017,5,Sunday,1
20170206,2017-02-06,6,2,February,Q1,2017,6,Monday,0
20170207,2017-02-07,7,2,February,Q1,2017,6,Tuesday,0
20170208,2017-02-08,8,2,February,Q1,2017,6,Wednesday,0
20170209,2017-02-09,9,2,February,Q1,2017,6,Thursday,0
20170210,2017-02-10,10,2,February,Q1,2017,6,Friday,0
20170211,2017-02-11,11,2,February,Q1,2017,6,Saturday,1
20170212,2017-02-12,12,2,February,Q1,2017,6,Sunday,1
20170213,2017-02-13,13,2,February,Q1,2017,7,Monday,0
20170214,2017-02-14,14,2,February,Q1,2017,7,Tuesday,0
20170215,2017-02-15,15,2,February,Q1,2017,7,Wednesday,0
20170216,2017-02-16,16,2,February,Q1,2017,7,Thursday,0
20170217,2017-02-17,17,2,February,Q1,2017,7,Friday,0
20170218,2017-02-18,18,2,February,Q1,2017,7,Saturday,1
20170219,2017-02-19,19,2,February,Q1,2017,7,Sunday,1
20170220,2017-02-20,20,2,February,Q1,2017,8,Monday,0
20170221,2017-02-21,21,2,February,Q1,2017,8,Tuesday,0
20170222,2017-02-22,22,2,February,Q1,2017,8,Wednesday,0
20170223,2017-02-23,23,2,February,Q1,2017,8,Thursday,0
20170224,2017-02-24,24,2,February,Q1,2017,8,Friday,0
20170225,2017-02-25,25,2,February,Q1,2017,8,Saturday,1
20170226,2017-02-26,26,2,February,Q1,2017,8,Sunday,1
20170227,2017-02-27,27,2,February,Q1,2017,9,Monday,0
20170228,2017-02-28,28,2,February,Q1,2017,9,Tuesday,0
20170301,2017-03-01,1,3,March,Q1,2017,9,Wednesday,0
20170302,2017-03-02,2,3,March,Q1,2017,9,Thursday,0
20170303,2017-03-03,3,3,March,Q1,2017,9,Friday,0
20170304,2017-03-04,4,3,March,Q1,2017,9,Saturday,1
20170305,2017-03-05,5,3,March,Q1,2017,9,Sunday,1
20170306,2017-03-06,6,3,March,Q1,2017,10,Monday,0
20170307,2017-03-07,7,3,March,Q1,2017,10,Tuesday,0
20170308,2017-03-08,8,3,March,Q1,2017,10,Wednesday,0
20170309,2017-03-09,9,3,March,Q1,2017,10,Thursday,0
20170310,2017-03-10,10,3,March,Q1,2017,10,Friday,0
20170311,2017-03-11,11,3,March,Q1,2017,10,Saturday,1
20170312,2017-03-12,12,3,March,Q1,2017,10,Sunday,1
20170313,2017-03-13,13,3,March,Q1,2017,11,Monday,0
20170314,2017-03-14,14,3,March,Q1,2017,11,Tuesday,0
20170315,2017-03-15,15,3,March,Q1,2017,11,Wednesday,0
20170316,2017-03-16,16,3,March,Q1,2017,11,Thursday,0
20170317,2017-03-17,17,3,March,Q1,2017,11,Friday,0
20170318,2017-03-18,18,3,March,Q1,2017,11,Saturday,1
20170319,2017-03-19,19,3,March,Q1,2017,11,Sunday,1
20170320,2017-03-20,20,3,March,Q1,2017,12,Monday,0
20170321,2017-03-21,21,3,March,Q1,2017,12,Tuesday,0
20170322,2017-03-22,22,3,March,Q1,2017,12,Wednesday,0
20170323,2017-03-23,23,3,March,Q1,2017,12,Thursday,0
20170324,2017-03-24,24,3,March,Q1,2017,12,Friday,0
20170325,2017-03-25,25,3,March,Q1,2017,12,Saturday,1
20170326,2017-03-26,26,3,March,Q1,2017,12,Sunday,1
20170327,2017-03-27,27,3,March,Q1,2017,13,Monday,0
20170328,2017-03-28,28,3,March,Q1,2017,13,Tuesday,0
20170329,2017-03-29,29,3,March,Q1,2017,13,Wednesday,0
20170330,2017-03-30,30,3,March,Q1,2017,13,Thursday,0
20170331,2017-03-31,31,3,March,Q1,2017,13,Friday,0
20170401,2017-04-01,1,4,April,Q2,2017,13,Saturday,1
20170402,2017-04-02,2,4,April,Q2,2017,13,Sunday,1
20170403,2017-04-03,3,4,April,Q2,2017,14,Monday,0
20170404,2017-04-04,4,4,April,Q2,2017,14,Tuesday,0
20170405,2017-04-05,5,4,April,Q2,2017,14,Wednesday,0
20170406,2017-04-06,6,4,April,Q2,2017,14,Thursday,0
20170407,2017-04-07,7,4,April,Q2,2017,14,Friday,0
20170408,2017-04-08,8,4,April,Q2,2017,14,Saturday,1
20170409,2017-04-09,9,4,April,Q2,2017,14,Sunday,1
20170410,2017-04-10,10,4,April,Q2,2017,15,Monday,0
20170411,2017-04-11,11,4,April,Q2,2017,15,Tuesday,0
20170412,2017-04-12,12,4,April,Q2,2017,15,Wednesday,0
20170413,2017-04-13,13,4,April,Q2,2017,15,Thursday,0
20170414,2017-04-14,14,4,April,Q2,2017,15,Friday,0
20170415,2017-04-15,15,4,April,Q2,2017,15,Saturday,1
20170416,2017-04-16,16,4,April,Q2,2017,15,Sunday,1
20170417,2017-04-17,17,4,April,Q2,2017,16,Monday,0
20170418,2017-04-18,18,4,April,Q2,2017,16,Tuesday,0
20170419,2017-04-19,19,4,April,Q2,2017,16,Wednesday,0
20170420,2017-04-20,20,4,April,Q2,2017,16,Thursday,0
20170421,2017-04-21,21,4,April,Q2,2017,16,Friday,0
20170422,2017-04-22,22,4,April,Q2,2017,16,Saturday,1
20170423,2017-04-23,23,4,April,Q2,2017,16,Sunday,1
20170424,2017-04-24,24,4,April,Q2,2017,17,Monday,0
20170425,2017-04-25,25,4,April,Q2,2017,17,Tuesday,0
20170426,2017-04-26,26,4,April,Q2,2017,17,Wednesday,0
20170427,2017-04-27,27,4,April,Q2,2017,17,Thursday,0
20170428,2017-04-28,28,4,April,Q2,2017,17,Friday,0
20170429,2017-04-29,29,4,April,Q2,2017,17,Saturday,1
20170430,2017-04-30,30,4,April,Q2,2017,17,Sunday,1
